route,date,actual_qty,actual_volume
Manchester-Paris,2026-04-05,1307,1960.5
Manchester-Paris,2026-04-06,445,667.5
Manchester-Paris,2026-04-07,2737,4105.5
Wroclaw-Birmingham,2026-04-01,1013,1519.5
Wroclaw-Birmingham,2026-04-02,315,472.5
Wroclaw-Birmingham,2026-04-03,1386,2079.0
Wroclaw-Birmingham,2026-04-04,332,498.0
Wroclaw-Birmingham,2026-04-05,1319,1978.5
Wroclaw-Birmingham,2026-04-06,3391,5086.5
Wroclaw-Birmingham,2026-04-07,867,1300.5
Liverpool-Paris,2026-04-01,1944,2916.0
Liverpool-Paris,2026-04-02,2346,3519.0
Liverpool-Paris,2026-04-03,1392,2088.0
Liverpool-Paris,2026-04-04,830,1245.0
Liverpool-Paris,2026-04-05,2227,3340.5
Liverpool-Paris,2026-04-06,98,147.0
Liverpool-Paris,2026-04-07,1050,1575.0
Wroclaw-Paris,2026-04-01,225,337.5
Wroclaw-Paris,2026-04-02,2369,3553.5
Wroclaw-Paris,2026-04-03,2035,3052.5
Wroclaw-Paris,2026-04-04,2939,4408.5
Wroclaw-Paris,2026-04-05,2003,3004.5
Wroclaw-Paris,2026-04-06,1155,1732.5
Wroclaw-Paris,2026-04-07,1652,2478.0
Nantes-Munich,2026-04-01,1694,2541.0
Nantes-Munich,2026-04-02,1423,2134.5
Nantes-Munich,2026-04-03,2554,3831.0
Nantes-Munich,2026-04-04,2263,3394.5
Nantes-Munich,2026-04-05,3309,4963.5
Nantes-Munich,2026-04-06,2144,3216.0
Nantes-Munich,2026-04-07,3241,4861.5
Nice-Turin,2026-04-01,297,445.5
Nice-Turin,2026-04-02,1892,2838.0
Nice-Turin,2026-04-03,1892,2838.0
Nice-Turin,2026-04-04,696,1044.0
Nice-Turin,2026-04-05,2358,3537.0
Nice-Turin,2026-04-06,2351,3526.5
Nice-Turin,2026-04-07,2073,3109.5
Amsterdam-Nantes,2026-04-01,1661,2491.5
Amsterdam-Nantes,2026-04-02,2788,4182.0
Amsterdam-Nantes,2026-04-03,1387,2080.5
Amsterdam-Nantes,2026-04-04,1457,2185.5
Amsterdam-Nantes,2026-04-05,2804,4206.0
Amsterdam-Nantes,2026-04-06,2657,3985.5
Amsterdam-Nantes,2026-04-07,2361,3541.5
Genoa-Toulouse,2026-04-01,2579,3868.5
Genoa-Toulouse,2026-04-02,1692,2538.0
Genoa-Toulouse,2026-04-03,243,364.5
Genoa-Toulouse,2026-04-04,2464,3696.0
Genoa-Toulouse,2026-04-05,3061,4591.5
Genoa-Toulouse,2026-04-06,1316,1974.0
Genoa-Toulouse,2026-04-07,1868,2802.0
Manchester-Berlin,2026-04-01,2226,3339.0
Manchester-Berlin,2026-04-02,2447,3670.5
Manchester-Berlin,2026-04-03,2852,4278.0
Manchester-Berlin,2026-04-04,1905,2857.5
Manchester-Berlin,2026-04-05,266,399.0
Manchester-Berlin,2026-04-06,2227,3340.5
Manchester-Berlin,2026-04-07,3028,4542.0
Paris-Madrid,2026-04-01,292,438.0
Paris-Madrid,2026-04-02,1046,1569.0
Paris-Madrid,2026-04-03,2259,3388.5
Paris-Madrid,2026-04-04,614,921.0
Paris-Madrid,2026-04-05,3254,4881.0
Paris-Madrid,2026-04-06,2743,4114.5
Paris-Madrid,2026-04-07,1371,2056.5
Naples-Cologne,2026-04-01,3263,4894.5
Naples-Cologne,2026-04-02,454,681.0
Naples-Cologne,2026-04-03,721,1081.5
Naples-Cologne,2026-04-04,230,345.0
Naples-Cologne,2026-04-05,2397,3595.5
Naples-Cologne,2026-04-06,789,1183.5
Naples-Cologne,2026-04-07,286,429.0
Madrid-Genoa,2026-04-01,2136,3204.0
Madrid-Genoa,2026-04-02,555,832.5
Madrid-Genoa,2026-04-03,2880,4320.0
Madrid-Genoa,2026-04-04,2506,3759.0
Madrid-Genoa,2026-04-05,813,1219.5
Madrid-Genoa,2026-04-06,1608,2412.0
Madrid-Genoa,2026-04-07,1497,2245.5
Malaga-Utrecht,2026-04-01,1776,2664.0
Malaga-Utrecht,2026-04-02,272,408.0
Malaga-Utrecht,2026-04-03,2069,3103.5
Malaga-Utrecht,2026-04-04,2224,3336.0
Malaga-Utrecht,2026-04-05,2681,4021.5
Malaga-Utrecht,2026-04-06,1097,1645.5
Malaga-Utrecht,2026-04-07,1641,2461.5
Nice-Poznan,2026-04-01,1072,1608.0
Nice-Poznan,2026-04-02,183,274.5
Nice-Poznan,2026-04-03,1489,2233.5
Nice-Poznan,2026-04-04,1381,2071.5
Nice-Poznan,2026-04-05,219,328.5
Nice-Poznan,2026-04-06,834,1251.0
Nice-Poznan,2026-04-07,719,1078.5
Seville-Warsaw,2026-04-01,2456,3684.0
Seville-Warsaw,2026-04-02,2215,3322.5
Seville-Warsaw,2026-04-03,3226,4839.0
Seville-Warsaw,2026-04-04,2398,3597.0
Seville-Warsaw,2026-04-05,569,853.5
Seville-Warsaw,2026-04-06,2059,3088.5
Seville-Warsaw,2026-04-07,2769,4153.5
Amsterdam-Palermo,2026-04-01,1201,1801.5
Amsterdam-Palermo,2026-04-02,3403,5104.5
Amsterdam-Palermo,2026-04-03,2657,3985.5
Amsterdam-Palermo,2026-04-04,63,94.5
Amsterdam-Palermo,2026-04-05,3369,5053.5
Amsterdam-Palermo,2026-04-06,1942,2913.0
Amsterdam-Palermo,2026-04-07,1065,1597.5
Madrid-London,2026-04-01,1209,1813.5
Madrid-London,2026-04-02,449,673.5
Madrid-London,2026-04-03,3104,4656.0
Madrid-London,2026-04-04,1178,1767.0
Madrid-London,2026-04-05,2631,3946.5
Madrid-London,2026-04-06,2658,3987.0
Madrid-London,2026-04-07,1979,2968.5
Stuttgart-Lodz,2026-04-01,40,60.0
Stuttgart-Lodz,2026-04-02,1704,2556.0
Stuttgart-Lodz,2026-04-03,1269,1903.5
Stuttgart-Lodz,2026-04-04,727,1090.5
Stuttgart-Lodz,2026-04-05,1934,2901.0
Stuttgart-Lodz,2026-04-06,2044,3066.0
Stuttgart-Lodz,2026-04-07,675,1012.5
Lodz-Marseille,2026-04-01,2718,4077.0
Lodz-Marseille,2026-04-02,3038,4557.0
Lodz-Marseille,2026-04-03,2012,3018.0
Lodz-Marseille,2026-04-04,2337,3505.5
Lodz-Marseille,2026-04-05,2273,3409.5
Lodz-Marseille,2026-04-06,2152,3228.0
Lodz-Marseille,2026-04-07,2957,4435.5
Rome-Stuttgart,2026-04-01,548,822.0
Rome-Stuttgart,2026-04-02,377,565.5
Rome-Stuttgart,2026-04-03,2150,3225.0
Rome-Stuttgart,2026-04-04,1430,2145.0
Rome-Stuttgart,2026-04-05,2505,3757.5
Rome-Stuttgart,2026-04-06,1890,2835.0
Rome-Stuttgart,2026-04-07,2653,3979.5
Rome-Valencia,2026-04-01,1797,2695.5
Rome-Valencia,2026-04-02,860,1290.0
Rome-Valencia,2026-04-03,262,393.0
Rome-Valencia,2026-04-04,2515,3772.5
Rome-Valencia,2026-04-05,377,565.5
Rome-Valencia,2026-04-06,1301,1951.5
Rome-Valencia,2026-04-07,109,163.5
Cologne-Stuttgart,2026-04-01,3142,4713.0
Cologne-Stuttgart,2026-04-02,2085,3127.5
Cologne-Stuttgart,2026-04-03,2346,3519.0
Cologne-Stuttgart,2026-04-04,2699,4048.5
Cologne-Stuttgart,2026-04-05,2836,4254.0
Cologne-Stuttgart,2026-04-06,3396,5094.0
Cologne-Stuttgart,2026-04-07,1392,2088.0
Rome-Rotterdam,2026-04-01,2776,4164.0
Rome-Rotterdam,2026-04-02,2578,3867.0
Rome-Rotterdam,2026-04-03,3343,5014.5
Rome-Rotterdam,2026-04-04,2384,3576.0
Rome-Rotterdam,2026-04-05,294,441.0
Rome-Rotterdam,2026-04-06,3428,5142.0
Rome-Rotterdam,2026-04-07,743,1114.5
Turin-Lyon,2026-04-01,1273,1909.5
Turin-Lyon,2026-04-02,574,861.0
Turin-Lyon,2026-04-03,1337,2005.5
Turin-Lyon,2026-04-04,100,150.0
Turin-Lyon,2026-04-05,1659,2488.5
Turin-Lyon,2026-04-06,1715,2572.5
Turin-Lyon,2026-04-07,242,363.0
Manchester-Birmingham,2026-04-01,925,1387.5
Manchester-Birmingham,2026-04-02,1442,2163.0
Manchester-Birmingham,2026-04-03,2496,3744.0
Manchester-Birmingham,2026-04-04,2815,4222.5
Manchester-Birmingham,2026-04-05,2965,4447.5
Manchester-Birmingham,2026-04-06,1487,2230.5
Manchester-Birmingham,2026-04-07,269,403.5
Palermo-Madrid,2026-04-01,986,1479.0
Palermo-Madrid,2026-04-02,161,241.5
Palermo-Madrid,2026-04-03,1540,2310.0
Palermo-Madrid,2026-04-04,2677,4015.5
Palermo-Madrid,2026-04-05,922,1383.0
Palermo-Madrid,2026-04-06,1371,2056.5
Palermo-Madrid,2026-04-07,1899,2848.5
Berlin-Marseille,2026-04-01,787,1180.5
Berlin-Marseille,2026-04-02,2652,3978.0
Berlin-Marseille,2026-04-03,2417,3625.5
Berlin-Marseille,2026-04-04,2260,3390.0
Berlin-Marseille,2026-04-05,1772,2658.0
Berlin-Marseille,2026-04-06,2034,3051.0
Berlin-Marseille,2026-04-07,1936,2904.0
Nice-Glasgow,2026-04-01,889,1333.5
Nice-Glasgow,2026-04-02,295,442.5
Nice-Glasgow,2026-04-03,2225,3337.5
Nice-Glasgow,2026-04-04,152,228.0
Nice-Glasgow,2026-04-05,571,856.5
Nice-Glasgow,2026-04-06,813,1219.5
Nice-Glasgow,2026-04-07,1929,2893.5
Marseille-Nantes,2026-04-01,66,99.0
Marseille-Nantes,2026-04-02,887,1330.5
Marseille-Nantes,2026-04-03,1932,2898.0
Marseille-Nantes,2026-04-04,2820,4230.0
Marseille-Nantes,2026-04-05,1402,2103.0
Marseille-Nantes,2026-04-06,3412,5118.0
Marseille-Nantes,2026-04-07,1773,2659.5
Stuttgart-Nantes,2026-04-01,2965,4447.5
Stuttgart-Nantes,2026-04-02,2978,4467.0
Stuttgart-Nantes,2026-04-03,1501,2251.5
Stuttgart-Nantes,2026-04-04,275,412.5
Stuttgart-Nantes,2026-04-05,2166,3249.0
Stuttgart-Nantes,2026-04-06,441,661.5
Stuttgart-Nantes,2026-04-07,2623,3934.5
Zaragoza-Cologne,2026-04-01,829,1243.5
Zaragoza-Cologne,2026-04-02,1835,2752.5
Zaragoza-Cologne,2026-04-03,2593,3889.5
Zaragoza-Cologne,2026-04-04,3251,4876.5
Zaragoza-Cologne,2026-04-05,3455,5182.5
Zaragoza-Cologne,2026-04-06,1117,1675.5
Zaragoza-Cologne,2026-04-07,1589,2383.5
Turin-Marseille,2026-04-01,309,463.5
Turin-Marseille,2026-04-02,1289,1933.5
Turin-Marseille,2026-04-03,1439,2158.5
Turin-Marseille,2026-04-04,1729,2593.5
Turin-Marseille,2026-04-05,1856,2784.0
Turin-Marseille,2026-04-06,1168,1752.0
Turin-Marseille,2026-04-07,493,739.5
Frankfurt-Naples,2026-04-01,629,943.5
Frankfurt-Naples,2026-04-02,2158,3237.0
Frankfurt-Naples,2026-04-03,862,1293.0
Frankfurt-Naples,2026-04-04,1433,2149.5
Frankfurt-Naples,2026-04-05,2610,3915.0
Frankfurt-Naples,2026-04-06,88,132.0
Frankfurt-Naples,2026-04-07,382,573.0
Nice-Hamburg,2026-04-01,2400,3600.0
Nice-Hamburg,2026-04-02,1460,2190.0
Nice-Hamburg,2026-04-03,122,183.0
Nice-Hamburg,2026-04-04,2215,3322.5
Nice-Hamburg,2026-04-05,1110,1665.0
Nice-Hamburg,2026-04-06,1010,1515.0
Nice-Hamburg,2026-04-07,239,358.5
Berlin-Lodz,2026-04-01,1939,2908.5
Berlin-Lodz,2026-04-02,877,1315.5
Berlin-Lodz,2026-04-03,460,690.0
Berlin-Lodz,2026-04-04,126,189.0
Berlin-Lodz,2026-04-05,468,702.0
Berlin-Lodz,2026-04-06,773,1159.5
Berlin-Lodz,2026-04-07,765,1147.5
Paris-Utrecht,2026-04-01,3530,5295.0
Paris-Utrecht,2026-04-02,2074,3111.0
Paris-Utrecht,2026-04-03,600,900.0
Paris-Utrecht,2026-04-04,597,895.5
Paris-Utrecht,2026-04-05,1409,2113.5
Paris-Utrecht,2026-04-06,1323,1984.5
Paris-Utrecht,2026-04-07,1488,2232.0
Seville-Paris,2026-04-01,737,1105.5
Seville-Paris,2026-04-02,707,1060.5
Seville-Paris,2026-04-03,2540,3810.0
Seville-Paris,2026-04-04,1874,2811.0
Seville-Paris,2026-04-05,2314,3471.0
Seville-Paris,2026-04-06,2060,3090.0
Seville-Paris,2026-04-07,3301,4951.5
Toulouse-Liverpool,2026-04-01,3473,5209.5
Toulouse-Liverpool,2026-04-02,2441,3661.5
Toulouse-Liverpool,2026-04-03,633,949.5
Toulouse-Liverpool,2026-04-04,3168,4752.0
Toulouse-Liverpool,2026-04-05,1602,2403.0
Toulouse-Liverpool,2026-04-06,1715,2572.5
Toulouse-Liverpool,2026-04-07,563,844.5
Rotterdam-Eindhoven,2026-04-01,1412,2118.0
Rotterdam-Eindhoven,2026-04-02,176,264.0
Rotterdam-Eindhoven,2026-04-03,754,1131.0
Rotterdam-Eindhoven,2026-04-04,2448,3672.0
Rotterdam-Eindhoven,2026-04-05,2484,3726.0
Rotterdam-Eindhoven,2026-04-06,1173,1759.5
Rotterdam-Eindhoven,2026-04-07,1103,1654.5
London-Marseille,2026-04-01,1847,2770.5
London-Marseille,2026-04-02,3215,4822.5
London-Marseille,2026-04-03,1362,2043.0
London-Marseille,2026-04-04,2051,3076.5
London-Marseille,2026-04-05,1496,2244.0
London-Marseille,2026-04-06,2603,3904.5
London-Marseille,2026-04-07,215,322.5
Paris-Warsaw,2026-04-01,1528,2292.0
Paris-Warsaw,2026-04-02,1891,2836.5
Paris-Warsaw,2026-04-03,1560,2340.0
Paris-Warsaw,2026-04-04,1030,1545.0
Paris-Warsaw,2026-04-05,218,327.0
Paris-Warsaw,2026-04-06,2208,3312.0
Paris-Warsaw,2026-04-07,1192,1788.0
Hamburg-Utrecht,2026-04-01,2065,3097.5
Hamburg-Utrecht,2026-04-02,984,1476.0
Hamburg-Utrecht,2026-04-03,2259,3388.5
Hamburg-Utrecht,2026-04-04,210,315.0
Hamburg-Utrecht,2026-04-05,1811,2716.5
Hamburg-Utrecht,2026-04-06,2895,4342.5
Hamburg-Utrecht,2026-04-07,3391,5086.5
London-Frankfurt,2026-04-01,709,1063.5
London-Frankfurt,2026-04-02,1514,2271.0
London-Frankfurt,2026-04-03,3315,4972.5
London-Frankfurt,2026-04-04,1225,1837.5
London-Frankfurt,2026-04-05,1172,1758.0
London-Frankfurt,2026-04-06,2301,3451.5
London-Frankfurt,2026-04-07,1102,1653.0
Warsaw-Naples,2026-04-01,897,1345.5
Warsaw-Naples,2026-04-02,807,1210.5
Warsaw-Naples,2026-04-03,1285,1927.5
Warsaw-Naples,2026-04-04,786,1179.0
Warsaw-Naples,2026-04-05,2611,3916.5
Warsaw-Naples,2026-04-06,1238,1857.0
Warsaw-Naples,2026-04-07,501,751.5
Rome-Malaga,2026-04-01,1097,1645.5
Rome-Malaga,2026-04-02,250,375.0
Rome-Malaga,2026-04-03,1629,2443.5
Rome-Malaga,2026-04-04,2524,3786.0
Rome-Malaga,2026-04-05,767,1150.5
Rome-Malaga,2026-04-06,3091,4636.5
Rome-Malaga,2026-04-07,1641,2461.5
Rome-Nice,2026-04-01,1756,2634.0
Rome-Nice,2026-04-02,1208,1812.0
Rome-Nice,2026-04-03,46,69.0
Rome-Nice,2026-04-04,1814,2721.0
Rome-Nice,2026-04-05,872,1308.0
Rome-Nice,2026-04-06,1138,1707.0
Rome-Nice,2026-04-07,2466,3699.0
Rome-Barcelona,2026-04-01,2190,3285.0
Rome-Barcelona,2026-04-02,1712,2568.0
Rome-Barcelona,2026-04-03,202,303.0
Rome-Barcelona,2026-04-04,2254,3381.0
Rome-Barcelona,2026-04-05,2106,3159.0
Rome-Barcelona,2026-04-06,2362,3543.0
Rome-Barcelona,2026-04-07,974,1461.0
Madrid-Eindhoven,2026-04-01,2495,3742.5
Madrid-Eindhoven,2026-04-02,406,609.0
Madrid-Eindhoven,2026-04-03,2697,4045.5
Madrid-Eindhoven,2026-04-04,1398,2097.0
Madrid-Eindhoven,2026-04-05,690,1035.0
Madrid-Eindhoven,2026-04-06,3096,4644.0
Madrid-Eindhoven,2026-04-07,1642,2463.0
Frankfurt-Warsaw,2026-04-01,1598,2397.0
Frankfurt-Warsaw,2026-04-02,150,225.0
Frankfurt-Warsaw,2026-04-03,2365,3547.5
Frankfurt-Warsaw,2026-04-04,2938,4407.0
Frankfurt-Warsaw,2026-04-05,2383,3574.5
Frankfurt-Warsaw,2026-04-06,2466,3699.0
Frankfurt-Warsaw,2026-04-07,2046,3069.0
Berlin-Poznan,2026-04-01,2712,4068.0
Berlin-Poznan,2026-04-02,1565,2347.5
Berlin-Poznan,2026-04-03,332,498.0
Berlin-Poznan,2026-04-04,3288,4932.0
Berlin-Poznan,2026-04-05,538,807.0
Berlin-Poznan,2026-04-06,2619,3928.5
Berlin-Poznan,2026-04-07,425,637.5
Toulouse-Malaga,2026-04-01,712,1068.0
Toulouse-Malaga,2026-04-02,1072,1608.0
Toulouse-Malaga,2026-04-03,763,1144.5
Toulouse-Malaga,2026-04-04,668,1002.0
Toulouse-Malaga,2026-04-05,1197,1795.5
Toulouse-Malaga,2026-04-06,945,1417.5
Toulouse-Malaga,2026-04-07,1916,2874.0
Munich-Malaga,2026-04-01,1893,2839.5
Munich-Malaga,2026-04-02,1400,2100.0
Munich-Malaga,2026-04-03,3113,4669.5
Munich-Malaga,2026-04-04,1349,2023.5
Munich-Malaga,2026-04-05,839,1258.5
Munich-Malaga,2026-04-06,158,237.0
Munich-Malaga,2026-04-07,2955,4432.5
Krakow-Marseille,2026-04-01,563,844.5
Krakow-Marseille,2026-04-02,540,810.0
Krakow-Marseille,2026-04-03,2499,3748.5
Krakow-Marseille,2026-04-04,1529,2293.5
Krakow-Marseille,2026-04-05,1175,1762.5
Krakow-Marseille,2026-04-06,2031,3046.5
Krakow-Marseille,2026-04-07,1994,2991.0
Poznan-Nice,2026-04-01,1232,1848.0
Poznan-Nice,2026-04-02,542,813.0
Poznan-Nice,2026-04-03,3251,4876.5
Poznan-Nice,2026-04-04,2664,3996.0
Poznan-Nice,2026-04-05,3079,4618.5
Poznan-Nice,2026-04-06,609,913.5
Poznan-Nice,2026-04-07,398,597.0
Nantes-Frankfurt,2026-04-01,1090,1635.0
Nantes-Frankfurt,2026-04-02,342,513.0
Nantes-Frankfurt,2026-04-03,3072,4608.0
Nantes-Frankfurt,2026-04-04,268,402.0
Nantes-Frankfurt,2026-04-05,3238,4857.0
Nantes-Frankfurt,2026-04-06,3422,5133.0
Nantes-Frankfurt,2026-04-07,1073,1609.5
Valencia-Glasgow,2026-04-01,2365,3547.5
Valencia-Glasgow,2026-04-02,3084,4626.0
Valencia-Glasgow,2026-04-03,2819,4228.5
Valencia-Glasgow,2026-04-04,2193,3289.5
Valencia-Glasgow,2026-04-05,1911,2866.5
Valencia-Glasgow,2026-04-06,519,778.5
Valencia-Glasgow,2026-04-07,2344,3516.0
Toulouse-Marseille,2026-04-01,3254,4881.0
Toulouse-Marseille,2026-04-02,2773,4159.5
Toulouse-Marseille,2026-04-03,2579,3868.5
Toulouse-Marseille,2026-04-04,981,1471.5
Toulouse-Marseille,2026-04-05,2434,3651.0
Toulouse-Marseille,2026-04-06,237,355.5
Toulouse-Marseille,2026-04-07,1892,2838.0
Nice-Madrid,2026-04-01,1990,2985.0
Nice-Madrid,2026-04-02,354,531.0
Nice-Madrid,2026-04-03,1873,2809.5
Nice-Madrid,2026-04-04,3040,4560.0
Nice-Madrid,2026-04-05,2124,3186.0
Nice-Madrid,2026-04-06,775,1162.5
Nice-Madrid,2026-04-07,571,856.5
Milan-Hamburg,2026-04-01,2189,3283.5
Milan-Hamburg,2026-04-02,3239,4858.5
Milan-Hamburg,2026-04-03,1687,2530.5
Milan-Hamburg,2026-04-04,1277,1915.5
Milan-Hamburg,2026-04-05,1316,1974.0
Milan-Hamburg,2026-04-06,2817,4225.5
Milan-Hamburg,2026-04-07,3082,4623.0
Amsterdam-Frankfurt,2026-04-01,2225,3337.5
Amsterdam-Frankfurt,2026-04-02,359,538.5
Amsterdam-Frankfurt,2026-04-03,1225,1837.5
Amsterdam-Frankfurt,2026-04-04,2973,4459.5
Amsterdam-Frankfurt,2026-04-05,1968,2952.0
Amsterdam-Frankfurt,2026-04-06,2448,3672.0
Amsterdam-Frankfurt,2026-04-07,2268,3402.0
Milan-Genoa,2026-04-01,1118,1677.0
Milan-Genoa,2026-04-02,1233,1849.5
Milan-Genoa,2026-04-03,136,204.0
Milan-Genoa,2026-04-04,334,501.0
Milan-Genoa,2026-04-05,876,1314.0
Milan-Genoa,2026-04-06,78,117.0
Milan-Genoa,2026-04-07,224,336.0
Poznan-Amsterdam,2026-04-01,586,879.0
Poznan-Amsterdam,2026-04-02,2984,4476.0
Poznan-Amsterdam,2026-04-03,2179,3268.5
Poznan-Amsterdam,2026-04-04,304,456.0
Poznan-Amsterdam,2026-04-05,2413,3619.5
Poznan-Amsterdam,2026-04-06,2542,3813.0
Poznan-Amsterdam,2026-04-07,2568,3852.0
Rome-Nantes,2026-04-01,512,768.0
Rome-Nantes,2026-04-02,2731,4096.5
Rome-Nantes,2026-04-03,1450,2175.0
Rome-Nantes,2026-04-04,1579,2368.5
Rome-Nantes,2026-04-05,2455,3682.5
Rome-Nantes,2026-04-06,553,829.5
Rome-Nantes,2026-04-07,3527,5290.5
Turin-Frankfurt,2026-04-01,904,1356.0
Turin-Frankfurt,2026-04-02,3056,4584.0
Turin-Frankfurt,2026-04-03,2146,3219.0
Turin-Frankfurt,2026-04-04,3175,4762.5
Turin-Frankfurt,2026-04-05,2123,3184.5
Turin-Frankfurt,2026-04-06,1227,1840.5
Turin-Frankfurt,2026-04-07,3075,4612.5
Nice-Seville,2026-04-01,3443,5164.5
Nice-Seville,2026-04-02,830,1245.0
Nice-Seville,2026-04-03,3418,5127.0
Nice-Seville,2026-04-04,2260,3390.0
Nice-Seville,2026-04-05,444,666.0
Nice-Seville,2026-04-06,739,1108.5
Nice-Seville,2026-04-07,2213,3319.5
Genoa-Cologne,2026-04-01,1237,1855.5
Genoa-Cologne,2026-04-02,2705,4057.5
Genoa-Cologne,2026-04-03,249,373.5
Genoa-Cologne,2026-04-04,2501,3751.5
Genoa-Cologne,2026-04-05,1435,2152.5
Genoa-Cologne,2026-04-06,1063,1594.5
Genoa-Cologne,2026-04-07,483,724.5
Toulouse-Nantes,2026-04-01,157,235.5
Toulouse-Nantes,2026-04-02,498,747.0
Toulouse-Nantes,2026-04-03,2935,4402.5
Toulouse-Nantes,2026-04-04,1160,1740.0
Toulouse-Nantes,2026-04-05,979,1468.5
Toulouse-Nantes,2026-04-06,2545,3817.5
Toulouse-Nantes,2026-04-07,3097,4645.5
Krakow-Madrid,2026-04-01,280,420.0
Krakow-Madrid,2026-04-02,2324,3486.0
Krakow-Madrid,2026-04-03,1635,2452.5
Krakow-Madrid,2026-04-04,695,1042.5
Krakow-Madrid,2026-04-05,287,430.5
Krakow-Madrid,2026-04-06,1528,2292.0
Krakow-Madrid,2026-04-07,536,804.0
Hamburg-Marseille,2026-04-01,2211,3316.5
Hamburg-Marseille,2026-04-02,2938,4407.0
Hamburg-Marseille,2026-04-03,2879,4318.5
Hamburg-Marseille,2026-04-04,350,525.0
Hamburg-Marseille,2026-04-05,269,403.5
Hamburg-Marseille,2026-04-06,200,300.0
Hamburg-Marseille,2026-04-07,3012,4518.0
Hamburg-Paris,2026-04-01,138,207.0
Hamburg-Paris,2026-04-02,3296,4944.0
Hamburg-Paris,2026-04-03,1784,2676.0
Hamburg-Paris,2026-04-04,2072,3108.0
Hamburg-Paris,2026-04-05,3020,4530.0
Hamburg-Paris,2026-04-06,2989,4483.5
Hamburg-Paris,2026-04-07,1516,2274.0
Paris-Genoa,2026-04-01,1311,1966.5
Paris-Genoa,2026-04-02,2735,4102.5
Paris-Genoa,2026-04-03,3429,5143.5
Paris-Genoa,2026-04-04,2175,3262.5
Paris-Genoa,2026-04-05,71,106.5
Paris-Genoa,2026-04-06,2061,3091.5
Paris-Genoa,2026-04-07,202,303.0
Turin-Birmingham,2026-04-01,2646,3969.0
Turin-Birmingham,2026-04-02,2231,3346.5
Turin-Birmingham,2026-04-03,361,541.5
Turin-Birmingham,2026-04-04,405,607.5
Turin-Birmingham,2026-04-05,1738,2607.0
Turin-Birmingham,2026-04-06,1816,2724.0
Turin-Birmingham,2026-04-07,1266,1899.0
Stuttgart-Warsaw,2026-04-01,1050,1575.0
Stuttgart-Warsaw,2026-04-02,2838,4257.0
Stuttgart-Warsaw,2026-04-03,1362,2043.0
Stuttgart-Warsaw,2026-04-04,731,1096.5
Stuttgart-Warsaw,2026-04-05,1691,2536.5
Stuttgart-Warsaw,2026-04-06,386,579.0
Stuttgart-Warsaw,2026-04-07,2775,4162.5
The Hague-Krakow,2026-04-01,3459,5188.5
The Hague-Krakow,2026-04-02,1970,2955.0
The Hague-Krakow,2026-04-03,1442,2163.0
The Hague-Krakow,2026-04-04,154,231.0
The Hague-Krakow,2026-04-05,2934,4401.0
The Hague-Krakow,2026-04-06,3397,5095.5
The Hague-Krakow,2026-04-07,1411,2116.5
Bristol-Birmingham,2026-04-01,512,768.0
Bristol-Birmingham,2026-04-02,2809,4213.5
Bristol-Birmingham,2026-04-03,148,222.0
Bristol-Birmingham,2026-04-04,729,1093.5
Bristol-Birmingham,2026-04-05,3211,4816.5
Bristol-Birmingham,2026-04-06,2751,4126.5
Bristol-Birmingham,2026-04-07,823,1234.5
Genoa-Warsaw,2026-04-01,1624,2436.0
Genoa-Warsaw,2026-04-02,3163,4744.5
Genoa-Warsaw,2026-04-03,263,394.5
Genoa-Warsaw,2026-04-04,1336,2004.0
Genoa-Warsaw,2026-04-05,1950,2925.0
Genoa-Warsaw,2026-04-06,1137,1705.5
Genoa-Warsaw,2026-04-07,455,682.5
London-Lodz,2026-04-01,2809,4213.5
London-Lodz,2026-04-02,2149,3223.5
London-Lodz,2026-04-03,2347,3520.5
London-Lodz,2026-04-04,2076,3114.0
London-Lodz,2026-04-05,314,471.0
London-Lodz,2026-04-06,3061,4591.5
London-Lodz,2026-04-07,2004,3006.0
Barcelona-Palermo,2026-04-01,411,616.5
Barcelona-Palermo,2026-04-02,770,1155.0
Barcelona-Palermo,2026-04-03,1132,1698.0
Barcelona-Palermo,2026-04-04,3130,4695.0
Barcelona-Palermo,2026-04-05,57,85.5
Barcelona-Palermo,2026-04-06,1014,1521.0
Barcelona-Palermo,2026-04-07,2670,4005.0
Madrid-Cologne,2026-04-01,2882,4323.0
Madrid-Cologne,2026-04-02,748,1122.0
Madrid-Cologne,2026-04-03,1579,2368.5
Madrid-Cologne,2026-04-04,1957,2935.5
Madrid-Cologne,2026-04-05,1574,2361.0
Madrid-Cologne,2026-04-06,3342,5013.0
Madrid-Cologne,2026-04-07,162,243.0
Cologne-Naples,2026-04-01,424,636.0
Cologne-Naples,2026-04-02,2942,4413.0
Cologne-Naples,2026-04-03,3086,4629.0
Cologne-Naples,2026-04-04,528,792.0
Cologne-Naples,2026-04-05,985,1477.5
Cologne-Naples,2026-04-06,3145,4717.5
Cologne-Naples,2026-04-07,1825,2737.5
Krakow-Seville,2026-04-01,933,1399.5
Krakow-Seville,2026-04-02,2584,3876.0
Krakow-Seville,2026-04-03,1556,2334.0
Krakow-Seville,2026-04-04,1253,1879.5
Krakow-Seville,2026-04-05,1473,2209.5
Krakow-Seville,2026-04-06,1430,2145.0
Krakow-Seville,2026-04-07,2155,3232.5
Amsterdam-Eindhoven,2026-04-01,2088,3132.0
